col0,col1
763,2248
764,764
765,765
766,1031
767,767
768,4792
769,769
770,770
771,771
772,772
773,773
774,774
775,775
776,9080
777,777
778,778
779,4069
780,780
781,8087
782,782
783,783
784,784
785,785
786,6832
787,6125
788,788
789,789
790,9928
791,791
792,792
793,793
794,794
795,9402
796,796
797,4518
798,798
799,799
800,2133
801,801
802,802
803,6082
804,804
805,805
806,6233
807,807
808,808
809,809
810,810
811,811
812,812
813,813
814,814
815,815
816,816
817,817
818,818
819,819
820,820
821,821
822,3268
823,823
824,972
825,4376
826,826
827,827
828,6545
829,829
830,830
831,3989
832,832
833,833
834,834
835,6621
836,836
837,837
838,838
839,839
840,840
841,4231
842,842
843,843
844,844
845,845
846,286
847,847
848,848
849,9929
850,850
851,851
852,852
853,853
854,4588
855,855
856,9998
857,857
858,858
859,859
860,7160
861,861
862,862
863,863
864,864
865,865
866,866
867,9701
868,868
869,9516
870,2743
871,871
872,872
873,873
874,2617
875,875
876,1490
877,877
878,878
879,879
880,880
881,5395
882,882
883,5689
884,884
885,885
886,886
887,887
888,888
889,889
890,890
891,891
892,892
893,893
894,894
895,3239
896,896
897,897
898,898
899,9032
900,900
901,901
902,902
903,903
904,210
905,905
906,906
907,907
908,908
909,909
910,910
911,911
912,8168
913,913
914,914
915,325
916,916
917,5945
918,918
919,919
920,4984
921,826
922,922
923,923
924,924
925,925
926,5239
927,927
928,928
929,159
930,930
931,931
932,932
933,933
934,2827
935,935
936,936
937,937
938,938
939,939
940,940
941,7616
942,942
943,943
944,944
945,4589
946,946
947,947
948,4533
949,949
950,950
951,951
952,1302
953,953
954,954
955,955
956,956
957,957
958,958
959,959
960,960
961,961
962,9630
963,963
964,964
965,965
966,7991
967,967
968,968
969,969
970,970
971,3584
972,7412
973,973
974,974
975,975
976,7455
977,977
978,978
979,979
980,980
981,2522
982,982
983,983
984,984
985,985
986,986
987,9989
988,988
989,989
990,990
991,991
992,992
993,993
994,994
995,995
996,996
997,997
998,415
999,999
1000,3214
1001,1001
1002,6523
1003,1003
1004,1004
1005,1005
1006,1006
1007,1007
1008,1008
1009,1009
1010,1010
1011,7884
1012,1012
1013,1013
1014,1014
1015,1015
1016,8338
1017,1017
1018,1018
1019,3152
1020,834
1021,1021
1022,1022
1023,1023
1024,1024
1025,1025
1026,1026
1027,1027
1028,1028
1029,9311
1030,1030
1031,1031
1032,1032
1033,1033
1034,1034
1035,1035
1036,1036
1037,1037
1038,1038
1039,1039
1040,1040
1041,5934
1042,1402
1043,4071
1044,1044
1045,1045
1046,1046
1047,1047
1048,1048
1049,1049
1050,1050
1051,1051
1052,1052
1053,1053
1054,1054
1055,1055
1056,1056
1057,1057
1058,1058
1059,1059
1060,1060
1061,1061
1062,1062
1063,1063
1064,1064
1065,5726
1066,1066
1067,1067
1068,1068
1069,1069
1070,7331
1071,1071
1072,1072
1073,8401
1074,1074
1075,1075
1076,1076
1077,4175
1078,6020
1079,1079
1080,1080
1081,1081
1082,1082
1083,1083
1084,1084
1085,1085
1086,1086
1087,1087
1088,1088
1089,1089
1090,1090
1091,5202
1092,567
1093,1093
1094,1094
1095,1095
1096,1096
1097,9229
1098,1098
1099,3545
1100,1100
1101,1105
1102,1102
1103,5643
1104,9210
1105,1105
1106,2229
1107,1107
1108,1108
1109,1109
1110,15
1111,1111
1112,1112
1113,1113
1114,1114
1115,1115
1116,1116
1117,1117
1118,1118
1119,1119
1120,1120
1121,1121
1122,1122
1123,1123
1124,6797
1125,4900
1126,1126
1127,4462
1128,1128
1129,1129
1130,1130
1131,1131
1132,1132
1133,1133
1134,2678
1135,1135
1136,1136
1137,1057
1138,1138
1139,1139
1140,1140
1141,1141
1142,1142
1143,1143
1144,1144
1145,4507
1146,3253
1147,1147
1148,966
1149,1149
1150,1150
1151,1151
1152,2614
1153,6446
1154,7695
1155,6758
1156,1156
1157,1331
1158,1158
1159,5196
1160,1160
1161,1161
1162,1162
1163,1163
1164,3972
1165,1165
1166,1166
1167,8372
1168,5792
1169,1169
1170,4286
1171,5657
1172,1172
1173,1173
1174,1174
1175,1175
1176,1176
1177,8515
1178,408
1179,1179
1180,1180
1181,5670
1182,4505
1183,1183
1184,1184
1185,1185
1186,1186
1187,1187
1188,8625
1189,1189
1190,1190
1191,1191
1192,581
1193,1193
1194,1194
1195,3724
1196,1196
1197,9347
1198,1198
1199,7445
1200,1200
1201,4959
1202,1202
1203,1203
1204,6884
1205,2427
1206,5099
1207,1207
1208,1208
1209,1209
1210,1210
1211,2506
1212,1212
1213,6755
1214,1214
1215,1215
1216,1216
1217,1217
1218,1218
1219,1219
1220,1220
1221,1221
1222,1222
1223,1223
1224,1224
1225,7433
1226,1226
1227,1227
1228,1228
1229,1229
1230,1230
1231,5606
1232,1232
1233,3924
1234,1234
1235,1235
1236,1236
1237,1237
1238,1238
1239,1239
1240,1240
1241,1241
1242,1242
1243,1243
1244,5944
1245,1245
1246,1246
1247,1247
1248,1248
1249,1249
1250,1250
1251,1251
1252,1252
1253,1253
1254,1254
1255,1255
1256,1256
1257,4968
1258,1258
1259,3149
1260,5282
1261,1261
1262,1262
1263,1263
1264,1264
1265,1265
1266,1266
1267,1267
1268,1858
1269,1269
1270,1912
1271,1271
1272,1272
1273,1273
1274,1274
1275,1275
1276,3325
1277,1277
1278,1278
1279,1279
1280,1280
1281,6938
1282,1282
1283,1283
1284,5194
1285,1285
1286,1286
1287,1287
1288,1288
1289,1289
1290,1290
1291,1291
1292,1292
1293,1293
1294,1294
1295,1295
1296,1296
1297,3267
1298,1298
1299,1299
1300,1300
1301,3700
1302,1302
1303,1303
1304,1098
1305,1305
1306,1306
1307,1307
1308,1308
1309,1309
1310,1310
1311,1311
1312,1312
1313,1313
1314,1314
1315,1315
1316,1316
1317,1317
1318,7895
1319,1319
1320,1320
1321,1321
1322,1322
1323,1323
1324,1324
1325,1325
1326,1326
1327,1327
1328,666
1329,1329
1330,1330
1331,1331
1332,1332
1333,1333
1334,1334
1335,1335
1336,1336
1337,1337
1338,1338
1339,1339
1340,5073
1341,1341
1342,1342
1343,1343
1344,1344
1345,1345
1346,1346
1347,1347
1348,1108
1349,3863
1350,1350
1351,1351
1352,1352
1353,1353
1354,1354
1355,1355
1356,1356
1357,1357
1358,7820
1359,1359
1360,1360
1361,1361
1362,1362
1363,1363
1364,1364
1365,1365
1366,1366
1367,1367
1368,1368
1369,1369
1370,1370
1371,7260
1372,3667
1373,2420
1374,1374
1375,1375
1376,1376
1377,2592
1378,1378
1379,1379
1380,1380
1381,1381
1382,1382
1383,1383
1384,6505
1385,1385
1386,1386
1387,1387
1388,1388
1389,1389
1390,1390
1391,1391
1392,1392
1393,3775
1394,1394
1395,1395
1396,1396
1397,1397
1398,1398
1399,1444
1400,1400
1401,1401
1402,1402
1403,1403
1404,1404
1405,1405
1406,1406
1407,1407
1408,1408
1409,1409
1410,1410
1411,1411
1412,1412
1413,4530
1414,1414
1415,1415
1416,6104
1417,1417
1418,1418
1419,1419
1420,1420
1421,2455
1422,4
1423,4022
1424,1424
1425,1425
1426,1426
1427,1427
1428,5127
1429,6480
1430,1679
1431,1431
1432,1432
1433,1433
1434,3212
1435,1435
1436,1436
1437,1437
1438,1438
1439,781
1440,1440
1441,1441
1442,1442
1443,1443
1444,1444
1445,1445
1446,1446
1447,1447
1448,1448
1449,1449
1450,1450
1451,1451
1452,9715
1453,1453
1454,1454
1455,1455
1456,1456
1457,1457
1458,1458
1459,1459
1460,1460
1461,1461
1462,666
1463,637
1464,1464
1465,1465
1466,1466
1467,1467
1468,1468
1469,1469
1470,2256
1471,1471
1472,1472
1473,1473
1474,1474
1475,1475
1476,1476
1477,871
1478,8018
1479,1479
1480,7404
1481,4876
1482,1482
1483,1483
1484,4656
1485,1485
1486,1486
1487,8318
1488,1488
1489,1489
1490,1490
1491,1491
1492,1492
1493,1493
1494,6175
1495,1495
1496,2073
1497,1497
1498,7664
1499,1902
1500,8322
1501,1501
1502,1502
1503,2569
1504,7782
1505,1505
1506,1506
1507,1507
1508,1508
1509,1509
1510,1510
1511,1511
1512,3724
1513,1513
1514,1514
1515,1515
1516,1516
1517,4338
1518,5501
1519,1519
1520,1520
1521,1521
1522,6064
1523,9427
1524,1524
1525,1525
1526,1526
1527,6600
1528,1528
1529,1529
1530,1530
1531,1531
1532,1532
1533,1533
1534,8731
1535,3799
1536,1536
1537,1537
1538,3449
1539,7835
1540,1540
1541,1541
1542,5470
1543,1543
1544,1544
1545,1545
1546,9032
1547,1547
1548,1548
1549,5928
1550,1550
1551,1551
1552,1244
1553,1553
1554,1554
1555,1555
1556,2013
1557,1557
1558,1558
1559,4757
1560,1560
1561,1561
1562,1562
1563,1563
1564,1564
1565,1565
1566,1566
1567,1567
1568,1568
1569,1569
1570,1570
1571,6513
1572,1572
1573,1573
1574,1574
1575,1575
1576,1576
1577,1577
1578,1578
1579,6081
1580,1580
1581,1581
1582,1582
1583,1583
1584,1584
1585,1585
1586,1586
1587,1013
1588,1588
1589,1589
1590,1590
1591,6938
1592,1592
1593,1593
1594,6852
1595,1595
1596,8256
1597,9748
1598,1598
1599,1599
1600,1600
1601,1601
1602,1602
1603,1603
1604,5314
1605,1605
1606,1606
1607,1607
1608,1608
1609,1609
1610,1610
1611,1611
1612,1612
1613,1118
1614,1614
1615,698
1616,1616
1617,1617
1618,1618
1619,1619
1620,1620
1621,1621
1622,1622
1623,8881
1624,8026
1625,1643
1626,1626
1627,1627
1628,1628
1629,1629
1630,1630
1631,1631
1632,1632
1633,1633
1634,1634
1635,1635
1636,1636
1637,4672
1638,2039
1639,1639
1640,1640
1641,1641
1642,1669
1643,7715
1644,1644
1645,1645
1646,1646
1647,1647
1648,1648
1649,1649
1650,2343
1651,1651
1652,1424
1653,1653
1654,2280
1655,7187
1656,1656
1657,1657
1658,1658
1659,1659
1660,3597
1661,1661
1662,1662
1663,1663
1664,1664
1665,1665
1666,1666
1667,1667
1668,1668
1669,1669
1670,1670
1671,9789
1672,5064
1673,1673
1674,1674
1675,7765
1676,1676
1677,1677
1678,5173
1679,4139
1680,7364
1681,1681
1682,1682
1683,1683
1684,1684
1685,1685
1686,1686
1687,1687
1688,1688
1689,5454
1690,3502
1691,1691
1692,1692
1693,1693
1694,4721
1695,1695
1696,1696
1697,1697
1698,1698
1699,1699
1700,1700
1701,1701
1702,1702
1703,1703
1704,1704
1705,1705
1706,1706
1707,1279
1708,1708
1709,1709
1710,1710
1711,1711
1712,1712
1713,1713
1714,1714
1715,1715
1716,1716
1717,1717
1718,1718
1719,1719
1720,1720
1721,1721
1722,1722
1723,1723
1724,1724
1725,6422
1726,1726
1727,804
1728,1728
1729,7961
1730,1730
1731,1731
1732,4077
1733,1733
1734,1734
1735,1735
1736,1736
1737,1737
1738,5771
1739,1739
1740,1740
1741,1741
1742,3977
1743,1743
1744,1744
1745,1745
1746,1746
1747,1747
1748,1748
1749,1749
1750,6941
1751,1751
1752,1752
1753,9157
1754,6501
1755,1755
1756,1756
1757,1757
1758,1758
1759,7233
1760,1760
1761,1761
1762,1762
1763,1763
1764,1764
1765,1765
1766,1766
1767,1767
1768,1768
1769,1769
1770,8199
1771,1771
1772,1772
1773,1121
1774,1774
1775,5687
1776,1776
1777,1777
1778,1778
1779,1779
1780,1780
1781,1781
1782,1782
1783,1783
1784,1784
1785,1785
1786,1786
1787,1787
1788,1788
1789,2909
1790,1790
1791,1791
1792,1792
1793,1793
1794,1794
1795,5695
1796,1796
1797,7425
1798,1798
1799,84
1800,1800
1801,1801
1802,6625
1803,1803
1804,1804
1805,1805
1806,1806
1807,1807
1808,1808
1809,1809
1810,1810
1811,1811
1812,1812
1813,7189
1814,1814
1815,1815
1816,1816
1817,6491
1818,1818
1819,1819
1820,1820
1821,1821
1822,1822
1823,1823
1824,1824
1825,1825
1826,1826
1827,1827
1828,1828
1829,1829
1830,1830
1831,1831
1832,1432
1833,1833
1834,1834
1835,9240
1836,1836
1837,951
1838,1838
1839,1839
1840,6728
1841,1841
1842,1842
1843,1751
1844,1844
1845,1845
1846,1846
1847,1847
1848,3667
1849,1849
1850,1850
1851,1851
1852,1852
1853,1853
1854,1854
1855,1855
1856,1856
1857,1857
1858,1858
1859,1859
1860,1860
1861,1861
1862,1862
1863,1863
1864,1864
1865,1865
1866,1866
1867,3783
1868,1868
1869,1869
1870,1870
1871,1871
1872,1872
1873,5363
1874,8423
1875,1875
1876,1876
1877,1877
1878,1878
1879,1879
1880,219
1881,1881
1882,1882
1883,1883
1884,1884
1885,1885
1886,1886
1887,1887
1888,1888
1889,1889
1890,1890
1891,5936
1892,7010
1893,1893
1894,1894
1895,1895
1896,514
1897,1270
1898,1898
1899,1899
1900,1900
1901,1901
1902,1902
1903,1903
1904,1904
1905,1905
1906,1906
1907,1907
1908,1908
1909,1909
1910,1910
1911,1911
1912,1912
1913,5526
1914,1914
1915,1915
1916,1916
1917,1917
1918,1918
1919,8624
1920,8230
1921,1921
1922,1922
1923,1923
1924,1924
1925,1925
1926,1926
1927,1927
1928,1928
1929,1929
1930,4098
1931,2588
1932,1932
1933,1933
1934,1934
1935,1935
1936,1936
1937,1937
1938,9649
1939,7052
1940,1940
1941,1941
1942,1942
1943,1943
1944,1944
1945,5638
1946,1946
1947,1947
1948,1948
1949,1949
1950,1950
1951,1951
1952,2143
1953,1953
1954,1954
1955,1955
1956,1956
1957,1957
1958,6244
1959,1959
1960,1960
1961,1961
1962,1962
1963,1738
1964,1964
1965,1965
1966,1966
1967,1967
1968,1968
1969,1969
1970,8984
1971,5935
1972,1972
1973,1973
1974,1974
1975,5247
1976,1976
1977,7019
1978,1978
1979,1979
1980,1980
1981,1981
1982,8643
1983,4784
1984,1984
1985,8310
1986,1986
1987,6060
1988,1988
1989,1989
1990,1990
1991,1991
1992,1992
1993,1920
1994,1994
1995,1995
1996,1996
1997,5607
1998,1998
1999,1999
2000,2000
2001,2001
2002,5371
2003,2003
2004,2004
2005,2005
2006,9005
2007,8623
2008,2008
2009,2009
2010,2010
2011,2011
2012,2012
2013,2013
2014,2014
2015,2015
2016,2016
2017,2017
2018,2018
2019,2019
2020,7917
2021,2021
2022,2022
2023,2376
2024,2024
2025,2025
2026,2026
2027,596
2028,2028
2029,2029
2030,2070
2031,2031
2032,2032
2033,2033
2034,5224
2035,9112
2036,3080
2037,2037
2038,2038
2039,2039
2040,1632
2041,9881
2042,2042
2043,2043
2044,2044
2045,2045
2046,2046
2047,2047
2048,1133
2049,2049
2050,5235
2051,2051
2052,2052
2053,2053
2054,5202
2055,2055
2056,2056
2057,2057
2058,2058
2059,2059
2060,2060
2061,2061
2062,3959
2063,5530
2064,2064
2065,2065
2066,6371
2067,2067
2068,2068
2069,4887
2070,2070
2071,2071
2072,2215
2073,2467
2074,2074
2075,2075
2076,2076
2077,2077
2078,2078
2079,2079
2080,2080
2081,1320
2082,2082
2083,2083
2084,2084
2085,2085
2086,3683
2087,2087
2088,2088
2089,2089
2090,2090
2091,2091
2092,2092
2093,2093
2094,4197
2095,2095
2096,2096
2097,2097
2098,2098
2099,3694
2100,9626
2101,2101
2102,2102
2103,2103
2104,2104
2105,2105
2106,2106
2107,2107
2108,2108
2109,2109
2110,2110
2111,2111
2112,2112
2113,2113
2114,2114
2115,2115
2116,2116
2117,2117
2118,2118
2119,2119
2120,2120
2121,9179
2122,6962
2123,7077
2124,2124
2125,2125
2126,8274
2127,3275
2128,4050
2129,2129
2130,603
2131,4025
2132,2132
2133,6371
2134,4101
2135,2135
2136,7967
2137,2530
2138,2138
2139,2139
2140,2716
2141,2141
2142,2142
2143,7860
2144,4796
2145,2145
2146,2146
2147,2147
2148,2148
2149,2149
2150,208
2151,2151
2152,2152
2153,2153
2154,2154
2155,2155
2156,2156
2157,5132
2158,8269
2159,2159
2160,481
2161,2161
2162,2162
2163,2163
2164,2164
2165,2165
2166,2166
2167,2167
2168,4257
2169,2169
2170,2170
2171,2171
2172,2172
2173,2173
2174,2174
2175,2175
2176,2176
2177,2177
2178,2178
2179,2179
2180,2180
2181,7666
2182,2182
2183,2183
2184,5185
2185,2185
2186,2186
2187,2187
2188,2188
2189,2189
2190,2190
2191,2191
2192,2192
2193,3630
2194,2194
2195,2195
2196,1077
2197,7197
2198,2198
2199,2199
2200,2200
2201,2201
2202,2202
2203,2203
2204,2204
2205,2205
2206,2206
2207,2207
2208,2208
2209,2209
2210,2210
2211,2211
2212,2212
2213,2213
2214,2214
2215,2215
2216,2216
2217,5737
2218,2218
2219,2219
2220,2220
2221,2221
2222,2222
2223,2223
2224,9709
2225,2225
2226,2226
2227,2227
2228,2228
2229,2229
2230,2230
2231,5390
2232,2232
2233,2233
2234,2234
2235,8422
2236,2236
2237,2237
2238,2238
2239,2239
2240,3324
2241,2241
2242,3163
2243,2243
2244,2244
2245,2245
2246,2246
2247,2247
2248,1678
2249,2249
2250,2250
2251,2251
2252,2252
2253,2253
2254,3055
2255,2255
2256,2256
2257,6928
2258,2258
2259,8740
2260,2260
2261,2261
2262,2262
2263,2263
2264,2264
2265,2265
2266,2266
2267,2267
2268,2268
2269,2269
2270,2270
2271,7893
2272,7370
2273,2273
2274,2274
2275,2275
2276,2276
2277,2277
2278,8222
2279,2279
2280,2280
2281,2281
2282,2282
2283,2283
2284,3772
2285,2285
2286,3191
2287,2287
2288,2288
2289,2289
2290,6459
2291,2291
2292,2292
2293,2293
2294,2294
2295,295
2296,2296
2297,2297
2298,2298
2299,2299
2300,193
2301,2301
2302,2302
2303,2303
2304,2304
2305,2305
2306,2527
2307,6309
2308,2682
2309,1208
2310,2310
2311,2311
2312,2312
2313,938
2314,2314
2315,2315
2316,1595
2317,2317
2318,2318
2319,7873
2320,2320
2321,4843
2322,2322
2323,2323
2324,2324
2325,2325
2326,2326
2327,2327
2328,2328
2329,4845
2330,2330
2331,2331
2332,2332
2333,2333
2334,2334
2335,2335
2336,2336
2337,2337
2338,2338
2339,2339
2340,2340
2341,2341
2342,2342
2343,6359
2344,3351
2345,2345
2346,2346
2347,2991
2348,2348
2349,2349
2350,2350
2351,2351
2352,2352
2353,2353
2354,2354
2355,2355
2356,2356
2357,2919
2358,2358
2359,6093
2360,2360
2361,2361
2362,2362
2363,2363
2364,2364
2365,2365
2366,2366
2367,946
2368,2368
2369,2369
2370,2370
2371,2371
2372,2372
2373,8989
2374,2374
2375,2375
2376,2376
2377,2377
2378,2378
2379,2379
2380,2380
2381,2381
2382,2382
2383,2383
2384,2384
2385,1636
2386,2386
2387,325
2388,2388
2389,2389
2390,2390
2391,1510
2392,2392
2393,6489
2394,2394
2395,2395
2396,2396
2397,2397
2398,6496
2399,9195
2400,2400
2401,2401
2402,2402
2403,2403
2404,2404
2405,2405
2406,2406
2407,2407
2408,9722
2409,6116
2410,2410
2411,2411
2412,2412
2413,2413
2414,2414
2415,3439
2416,2416
2417,2417
2418,2418
2419,5444
2420,2420
2421,2421
2422,2422
2423,2423
2424,2424
2425,4688
2426,5687
2427,2427
2428,2428
2429,2429
2430,2430
2431,2291
2432,2432
2433,2433
2434,2434
2435,2435
2436,2436
2437,2437
2438,2438
2439,2439
2440,8584
2441,2441
2442,2442
2443,5568
2444,2444
2445,8220
2446,2446
2447,2447
2448,4453
2449,2449
2450,2450
2451,2451
2452,2452
2453,2453
2454,2454
2455,2455
2456,2456
2457,6347
2458,2458
2459,2459
2460,2460
2461,2461
2462,2462
2463,2463
2464,2464
2465,2465
2466,2466
2467,2467
2468,2468
2469,2469
2470,2470
2471,2471
2472,9376
2473,2473
2474,2474
2475,2475
2476,6250
2477,2477
2478,2478
2479,2479
2480,5272
2481,1682
2482,2482
2483,2483
2484,2484
2485,225
2486,2486
2487,3190
2488,2488
2489,2489
2490,2490
2491,2491
2492,2492
2493,2493
2494,2494
2495,2495
2496,2496
2497,2497
2498,2498
2499,2499
2500,8160
2501,2501
2502,2953
2503,2503
2504,2504
2505,4364
2506,2506
2507,8430
2508,2508
2509,2509
2510,2510
2511,2511
2512,2512
2513,2513
2514,163
2515,2515
2516,2516
2517,2517
2518,2518
2519,2519
2520,2520
2521,2521
2522,2522
2523,2523
2524,2524
2525,164
2526,2526
2527,2527
2528,592
2529,2529
2530,2530
2531,2531
2532,2532
2533,9968
2534,2534
2535,2535
2536,2536
2537,2537
2538,2538
2539,2087
2540,2540
2541,2541
2542,3223
2543,2543
2544,2544
2545,2545
2546,1422
2547,2547
2548,2548
2549,2549
2550,2550
2551,2551
2552,2552
2553,2553
2554,2554
2555,2555
2556,2556
2557,2557
2558,2558
2559,7717
2560,2560
2561,6141
2562,2562
2563,2563
2564,2564
2565,2565
2566,2566
2567,2567
2568,2568
2569,2569
2570,6148
2571,2571
2572,2572
2573,3490
2574,2574
2575,2575
2576,2576
2577,2577
2578,2578
2579,2579
2580,2580
2581,2581
2582,2582
2583,2583
2584,9955
2585,250
2586,2586
2587,2824
2588,2588
2589,2589
2590,6522
2591,2591
2592,5728
2593,2593
2594,2594
2595,2595
2596,2596
2597,4870
2598,2598
2599,2599
2600,2600
2601,5529
2602,408
2603,2603
2604,8570
2605,2605
2606,2606
2607,9815
2608,6130
2609,2609
2610,2610
2611,2611
2612,9970
2613,2613
2614,2614
2615,200
2616,2616
2617,2617
2618,2618
2619,2619
2620,2620
2621,2621
2622,83
2623,2623
2624,2624
2625,2625
2626,9575
2627,2627
2628,4909
2629,2629
2630,2630
2631,2631
2632,2632
2633,2633
2634,2634
2635,2635
2636,2636
2637,9919
2638,9469
